Phumuzile Catherine Ngwenya-Mabila,Bambolunye Catering and Other Projects :- Director,"Provision Food, Supermarket, Office"
Rachel Cecilia Adams,Director: JR Amathuba (Ltd),CC - Projects
Risimati Thompson Mavunda,Property Development,Tshamawexe
Risimati Thompson Mavunda,Building Industry Tourism and Conferences Property Training Facilitation Mining Industry,Trading Property
Robert Alfred Lees,Ladysmith Farmers Security,Farm Security (Dormant)
Rob Davies,Institute for African Alternatives,Research / Non Profit
Ross Kriel Purdon,Partner 40% - Pomprods CC T/A Harcourts Port Alfred - CK No: 2010/158257/23,Estate Agency
Russel Nsikayezwe Cebekhulu,Mdedeleni Construction,Building Construction Company
Russel Nsikayezwe Cebekhulu,Fundimvelo Conservence Masethembe Investment Holdings,Game Reserve
Samuel Gaaesi Mmusi,Tshepisang Corporation CC,Dormant
Sango Patekile Holomisa,Contralesa Investment Holdings Investment Company
Sango Patekile Holomisa,Oceanside,Petrol Station
Sarel Jacobus Francois Marais,Marlynko Enterprises CC,Deregistered
Sarel Jacobus Francois Marais,Befex CC,Deregistered
Sarel Jacobus Francois Marais,Befco CC,Deregistered
Sarel Jacobus Francois Marais,DISSA,Sport Body for Disabled Athletes. Deregistered
Sarel Jacobus Francois Marais,SASCOC,Elected Board Member of Sport Body
Sarel Jacobus Francois Marais,SASCOC (Pty)Ltd,Changed from NPC to NPO
Sarel Jacobus Francois Marais,2022 Commonwealth Games - Durban,LOC/Host for 2022 CWG. Deregistered
Sello Albert Tleane,Seneshaula,"Engineering, construction and cleaning"
Sello Albert Tleane,Ali's Place,Legal Shebeen
Semakaleng Patricia Kopane,Inzuzo Financial Co-Op,Finance
Sheila Coleen Nkhensani Sithole,"Grace Shope Secretarial , A computer",Training
